"FSC.A","Timer.Blue","Timer.Red"
75422.2,189.24,61.7732
78449,139.44,20.9698
93175.6,-57.27,15.7779
67733.4,63.91,9.07761
107542,125.33,-13.7386
68243.7,75.53,-18.6576
73361.4,33.2,-29.7721
73104.5,73.87,-14.2329
86025.8,158.53,-28.446
67746.7,21.58,26.7681
76172.6,-61.42,-19.3422
66376.1,39.84,23.9158
66231.2,-142.76,16.7711
77385,232.4,2.65583
83921.6,54.78,34.9019
75255.6,25.73,4.56284
76877.5,198.37,31.7209
61247.9,195.88,-51.615
89863.9,93.79,46.3407
73311.7,-21.58,23.3198
75784.8,-1.66,-38.122
75182.1,141.1,-21.932
77252.7,152.72,117.431
73647.7,68.89,53.6755
62927.9,-49.8,35.2379
91330.4,244.85,125.914
106797,97.11,64.3348
87129,87.98,91.5488
75625.9,66.4,-9.55477
80276.7,192.56,-49.6937
89171.6,90.47,15.9892
81344.9,139.44,70.3978
76564.6,-14.94,-33.1029
87392.2,36.52,-48.7671
79288.3,119.52,100.537
76754.3,72.21,-24.2159
70879.9,16.6,-72.5035
72173.5,24.9,-21.7914
71205.4,16.6,-20.674
75951.4,151.06,0.831427
70855.4,43.99,-19.5466
79741.2,107.9,-19.5623
81702.6,252.32,70.5354
76342,43.99,-22.7974
126638,166,51.2486
80152.1,68.06,-61.3537
90329.4,175.96,62.7064
73035.9,253.15,-65.9889
73193.4,190.9,-37.6191
74861.5,68.06,-25.5103
76708.1,63.08,0.0578525
81801.3,152.72,-7.56594
99732.5,64.74,13.9336
73147.9,70.55,58.7363
82313,11.62,81.5118
78056.3,15.77,70.3549
75861.1,63.91,82.6832
69769,-30.71,26.1918
78785.7,49.8,10.923
73026.8,-42.33,10.9234
79559.2,128.65,37.3757
82793.9,166,0.46536
73484.6,117.03,-31.8672
73028.2,51.46,11.3219
74190.9,36.52,69.5391
72079,62.25,-32.4785
64681.4,85.49,1.47353
89941.6,110.39,-0.225396
77504.7,83,-21.1007
64360.8,-52.29,76.9036
79879.8,177.62,30.6849
72583,94.62,18.9414
73439.8,138.61,-29.5255
79745.4,26.56,28.045
103802,176.79,30.433
72772,-53.12,-47.7099
65380.7,-13.28,-55.5421
81193,108.73,5.69109
75828.9,-68.89,-29.9909
81361.7,1.66,10.7336
71983.8,-53.12,-37.977
69972,137.78,28.9988
72317,232.4,15.0917
73847.2,-72.21,104.542
78238.3,112.05,9.45552
82507.6,65.57,-62.3394
78397.2,81.34,18.359
74788,-108.73,30.3317
92797.6,190.9,38.7772
70564.2,255.64,-68.0387
83857.2,116.2,14.6838
102275,146.08,54.0562
80723.3,220.78,69.7881
77069.3,-41.5,-33.0801
78519.7,-13.28,12.8761
84973.7,26.56,108.512
59136.7,-53.12,-8.46934
84836.5,-58.93,-20.1837
108526,183.43,20.793
80648.4,42.33,48.5414
86643.9,127.82,64.352
75844.3,-84.66,-19.265
60930.1,-83.83,18.3003
68768,-133.63,20.2285
71248.1,30.71,-54.5013
74167.1,166,71.938
83790,106.24,-21.2304
81918.2,172.64,-29.8859
80893.4,187.58,12.2591
61065.2,-5.81,-55.0409
85684.9,122.84,56.9687
79348.5,34.86,-50.614
70102.9,113.71,-40.4356
82792.5,83,14.9614
74564.7,33.2,45.2831
77889,108.73,34.1441
75912.2,93.79,-13.5344
56186.9,66.4,56.2409
86846.9,205.01,29.9976
77164.5,175.96,86.8132
83622,146.91,106.456
73561.6,117.03,9.85423
80725.4,81.34,56.6247
79179.8,32.37,49.2239
65112.6,190.07,78.5577
77939.4,34.03,39.9494
79086,-24.07,-13.7865
74006.8,45.65,-38.8221
80126.9,83.83,-109.4
60069.8,0,-1.81981
118268,268.09,-36.0463
68609.8,83,13.75
75182.1,43.16,-45.7133
67075.4,141.93,93.1198
80480.4,53.95,-5.27312
79084.6,117.86,0.162173
77387.8,145.25,84.4279
80439.1,24.9,-12.2202
70760.2,71.38,6.72613
71050.7,-120.35,39.2984
86784.6,138.61,-31.9803
81800.6,-70.55,-30.7843
79036.3,134.46,8.03032
79042.6,-35.69,73.4676
72907.8,-7.47,-41.446
76727,139.44,-10.4855
73642.8,98.77,-32.192
71893.5,117.03,-12.6446
66800.3,118.69,-32.6198
74122.3,78.02,-44.8304
85325.8,47.31,38.9946
74534.6,204.18,21.2015
71059.8,66.4,50.1726
91391.3,112.05,-11.5144
