"FSC.A","Timer.Blue","Timer.Red"
119552,4603.18,366.215
94275.3,839.96,91.5659
114795,5543.57,285.359
97172.6,355.24,138.839
120684,3820.49,261.808
134212,4336.75,131.12
138430,1471.59,97.6423
97475.7,742.85,13.7219
132922,126.16,34.4245
124509,497.17,246.085
119009,1905.68,373.146
111971,695.54,174.957
112554,2937.37,420.718
89742.8,1894.89,15.3992
100295,959.48,18.2835
135166,3931.71,722.947
113781,5446.46,59.3747
95118.8,110.39,-56.2808
105508,199.2,-170.188
124802,1835.13,-23.8915
120462,2372.97,1583.02
140262,1744.66,92.7115
91904.4,48.14,69.8997
125147,8579.71,346.624
118128,3515.88,310.988
129593,4032.14,623.859
96953.5,2787.97,201.217
112064,2661.81,629.698
84877.8,1762.09,211.299
107964,1265.75,-302.103
105835,1063.23,319.662
101879,100.43,83.9636
113385,2998.79,114.901
126765,1502.3,221.498
130661,395.91,183.147
74731.3,359.39,108.542
101165,1462.46,-217.238
100598,521.24,132.789
88704.7,3076.81,27.1942
127784,4175.73,198.602
118948,2449.33,298.634
103184,355.24,891.57
80242.4,2040.97,158.277
110518,5643.17,18.0296
102932,4656.3,466.859
142440,742.02,189.913
129655,467.29,151.964
138726,5614.95,350.995
128978,2822.83,42.1763
112860,619.18,155.772
100728,1283.18,167.957
110622,3155.66,561.944
116726,6935.48,386.691
122223,1741.34,317.401
132523,2588.77,288.288
125573,271.41,211.187
118001,3495.13,430.302
121394,3180.56,285.43
90418.3,88.81,-49.9675
110141,266.43,20.5195
106216,821.7,70.3999
124111,6273.14,376.977
90573.7,712.14,119.257
80511.2,29.88,22.0791
88681.6,3190.52,53.0289
110300,1078.17,135.041
139083,179.28,-273.053
105403,3815.51,52.1796
89695.2,659.02,38.0595
131098,3370.63,112.357
139429,954.5,222.404
138562,6892.32,444.048
128020,1341.28,1830.39
133174,4845.54,179.825
85796.2,380.14,-12.4382
135495,2129.78,584.531
113805,39.84,-143.767
125135,4112.65,117.851
121581,6098.01,432.163
122403,3813.85,127.331
110890,3218.74,142.429
102103,4191.5,-143.393
104715,2826.15,79.9942
95211.2,1151.21,23.5082
84777,937.07,119.545
128040,172.64,-127.988
121498,3476.04,77.5334
112711,1803.59,450.896
128050,3239.49,184.938
94143,1581.98,-10.8334
115383,10214.8,728.015
103201,1015.92,379.018
103318,2313.21,147.195
115725,2345.58,67.9824
124718,7377.87,353.99
85306.9,2216.93,84.3261
124265,320.38,152.471
120891,1279.86,474.531
106407,708.82,25.5696
126090,6566.96,851.079
87471.3,2244.32,23.5802
135075,6947.1,338.713
105664,332.83,267.568
105120,3144.04,32.3904
119755,4458.76,-5.84455
111872,2426.92,30.4816
101976,178.45,42.6901
112429,2676.75,177.482
122792,2185.39,-96.039
109865,2533.99,139.612
74095.7,996.83,25.5187
80058.3,518.75,-20.9013
87287.9,537.84,94.7987
124389,13218.6,161.321
117525,4725.19,549.232
99591.1,2490,47.78
113826,3002.11,353.38
114561,9098.46,121.783
105302,1224.25,168.397
84091.7,129.48,87.5149
105514,671.47,-148.233
120578,212.48,184.202
106507,438.24,132.592
107073,1983.7,251.509
108020,5644.83,262.871
108954,729.57,39.9085
116117,2021.88,1165.33
122364,575.19,189.043
100874,185.92,4.44917
114474,5736.96,420.876
119408,1956.31,1326.24
127939,1252.47,320.546
130870,5719.53,233.259
120284,9197.23,369.43
99276.8,556.1,-40.7991
132761,7072.43,492.837
133244,6566.13,330.97
102937,3776.5,6.28453
99913.1,2011.09,-20.5417
122809,5185.84,371.033
101609,625.82,719.898
119041,2185.39,55.7547
95049.5,2018.56,301.605
115223,304.61,-276.221
65251.9,411.68,354.547
101053,1899.87,161.817
102425,2670.11,-130.389
117786,4552.55,291.646
122440,7758.84,392.808
120800,1322.19,-178.494
132381,1074.85,110.768
121739,809.25,178.919
81102.7,1971.25,64.6583
106614,199.2,455.767
138760,7380.36,520.631
99183,915.49,42.8147
111513,1651.7,214.071
101875,1320.53,115.194
101994,3884.4,-55.227
81270.7,87.98,-26.4179
135781,390.1,13.7202
90745.9,2988,-68.5037
114110,2868.48,306.118
134280,4625.59,154.665
111853,5711.23,1264.82
127071,3279.33,326.967
102690,625.82,88.8618
99536.5,137.78,60.1368
140587,7209.38,209.785
120124,3766.54,339.473
99681.4,1292.31,354.341
80794,102.09,-54.3789
123593,160.19,216.673
128414,1491.51,150.724
118278,3732.51,66.3539
122535,790.99,-129.005
77149.8,246.51,-39.8728
102322,927.11,165.219
91850.5,8015.31,609.079
118915,3277.67,686.609
121232,19881,429.189
116347,2498.3,383.124
138445,11846.6,783.894
119965,8193.76,299.125
119143,771.9,-104.181
129843,3314.19,298.382
116596,3444.5,146.876
112692,6441.63,448.939
116712,979.4,-72.8415
128605,1203.5,58.9263
131536,4757.56,280.734
122342,170.15,-38.3002
108587,609.22,65.4352
126416,2099.9,-56.6497
126914,3628.76,2969.74
129928,832.49,421.251
118381,4159.96,291.519
100155,3021.2,6.63583
90930.7,78.02,-106.498
109414,1108.05,-175.893
105373,1342.94,41.261
85872.5,1850.07,29.9317
119591,926.28,-257.322
141616,3413.79,461.315
102813,333.66,-83.3579
121185,145.25,5.66409
136194,430.77,132.589
102607,851.58,60.2772
90228.6,4.15,-26.3837
103008,3719.23,69.7253
114482,9326.71,850.316
120487,2202.82,155.138
91114.8,1267.41,14.8081
127457,7686.63,596.901
106549,209.99,-101.84
78745.1,-13.28,8.84707
124952,1116.35,1941.49
139961,2831.96,397.174
102442,2591.26,60.5585
113319,5339.39,407.186
124008,3446.16,83.5127
97528.2,339.47,85.7505
132396,1498.98,-19.6648
134862,2812.04,32.2513
133690,2084.13,182.052
103897,231.57,-59.3234
121806,1309.74,-8.19066
115661,1936.39,-100.854
129645,727.91,214.901
94306.1,183.43,134.265
140190,4681.2,136.553
128759,2171.28,172.702
110640,239.04,120.084
96109.3,1878.29,-60.7096
118439,2102.39,138.814
115944,2664.3,244.829
136578,8314.11,161.896
125295,1316.38,191.3
136109,1456.65,-36.9805
100527,2041.8,41.389
117151,3535.8,358.165
131503,4753.41,90.2608
128122,3976.53,192.854
116229,4626.42,349.695
134904,3271.03,29.268
122862,3088.43,437.25
120135,3284.31,-20.3463
76978.3,675.62,-49.2122
96444.6,3366.48,216.029
93690.8,1388.59,-53.063
133167,1638.42,18.0358
127861,4129.25,-42.0484
88860.1,124.5,-81.711
93250.5,4311.02,82.0165
117076,6249.07,300.471
75663,449.86,-53.5984
139026,423.3,177.14
123185,5867.27,273.78
104756,1773.71,150.997
139346,4498.6,201.623
115513,2423.6,235.767
103358,4304.38,481.038
129210,5062.17,397.905
96715.5,1715.61,203.409
124139,2958.12,674.729
123719,2535.65,-170.461
79755.2,210.82,-32.538
121301,3900.17,-23.0602
126304,5190.82,2246.72
121213,2182.07,329.355
92160.6,161.85,145.654
106795,2216.93,192.183
126880,7371.23,683.588
83669.6,378.48,-20.1783
104320,4170.75,-13.895
125775,273.07,-143.53
136381,2972.23,92.7114
103801,5840.71,355.321
79890.3,275.56,-4.32364
112788,8153.92,525.195
118836,2391.23,249.024
127768,4372.44,225.956
111355,12015.1,706.507
114740,3810.53,247.566
105035,1455.82,28.6815
95748.1,999.32,-43.991
116143,1352.9,267.958
94213.7,983.55,83.105
105510,5106.99,8.14905
115862,1469.93,223.777
121351,1755.45,275.578
128578,3680.22,-92.3917
117305,13651,728.749
118234,15047.1,496.172
115848,2152.19,-95.8449
89521.6,1458.31,32.4954
130316,2651.85,375.115
130965,7322.26,365.093
127252,327.02,-161.737
131414,3602.2,414.899
123545,9129.17,301.415
95771.9,1454.16,33.6095
103766,2152.19,250.525
128045,235.72,-69.2811
107913,88.81,-20.4621
139388,732.89,-128.267
120172,3214.59,369.894
104502,3046.93,87.106
119271,7042.55,736.836
83370.7,537.01,-68.8496
139959,10632.3,926.685
125817,4653.81,216.855
110844,2514.07,30.9435
100563,2296.61,115.735
135936,5736.96,511.992
95279.8,4340.9,553.789
98685.3,1461.63,-43.7828
99624.7,3259.41,59.9867
121155,1316.38,10.9216
84463.4,73.87,99.9526
116838,3696.82,419.458
120668,1378.63,179.521
124688,1701.5,282.322
120702,4001.43,-5.3531
95948.3,541.99,305.493
95910.5,958.65,177.733
103338,1888.25,221.688
108575,4670.41,277.424
121839,6638.34,660.903
109449,117.03,-53.4234
131667,761.94,514.612
89770.1,522.9,-34.8736
83979,1743,76.2579
138283,4709.42,578.019
129167,6681.5,628.022
105044,132.8,216.289
123852,2094.09,238.003
98602.7,1970.42,94.342
100267,9616.38,58.4666
142404,1253.3,163.56
95785.2,102.09,105.718
90512.8,89.64,156.752
102973,2126.46,139.53
122767,4351.69,231.993
128796,2132.27,325.565
115851,6216.7,-6.95778
94026.1,205.84,208.464
97424.6,140.27,161.946
131486,7702.4,1708.04
70932.4,124.5,22.1968
137342,3847.88,377.919
107474,359.39,221.645
124599,483.89,25.3613
115329,928.77,285.809
104300,1337.13,130.859
117850,1131.29,-325.812
86740.5,907.19,-44.3257
113561,1619.33,147.757
131335,1073.19,204.218
125698,1310.57,182.471
112733,1237.53,712.484
126579,7691.61,239.174
94859.1,3029.5,83.3054
123509,10333.5,207.128
127756,11123.7,220.357
141871,1782.01,122.099
107600,1035.84,-109.502
116663,1689.88,22.4382
132471,4529.31,-29.9057
126804,584.32,85.4948
97145.3,567.72,44.5521
125632,278.88,177.045
88998.7,431.6,-36.5085
79956.1,3432.05,-6.23779
97584.9,485.55,68.7948
106497,3726.7,40.6615
104821,1414.32,314.574
99061.9,922.96,107.646
121558,4651.32,462.841
108865,2401.19,77.2452
129443,2836.11,-75.1482
91319.2,1865.01,137.74
100843,615.86,53.264
92336.3,628.31,87.1946
130164,4197.31,2.571
113142,5579.26,645.641
111368,1541.31,556.611
106705,268.09,31.8899
110721,1168.64,143.755
106305,888.93,1142.09
103388,1962.95,56.0819
134126,359.39,-63.8038
126647,629.97,213.221
131645,1912.32,530.699
128920,6671.54,552.189
114284,898.06,294.058
132144,4366.63,66.4504
136711,3000.45,113.399
117152,6144.49,793.712
118604,789.33,659.796
113875,3413.79,68.977
120559,4591.56,313.706
73692.5,1405.19,40.4831
95068.4,2180.41,-3.86199
117050,264.77,-61.9213
132201,2654.34,191.489
102558,2777.18,190.554
140129,4910.28,75.6108
134568,5055.53,1501.95
129516,4419.75,307.028
90688.5,426.62,23.8377
122674,4369.95,250.729
112289,2590.43,143.527
114207,705.5,-249.626
120108,3297.59,148.15
103373,4558.36,113.876
135779,6120.42,173.463
104990,107.9,15.1443
110675,3210.44,368.991
121959,1019.24,264.03
97070.4,2372.97,188.803
112673,6541.23,25.7288
139398,761.11,244.674
115954,2040.14,23.9098
107371,459.82,27.3411
103108,9374.85,274.472
121661,3276.84,582.385
116418,3038.63,566.508
105594,219.95,-149.575
137092,2797.93,557.607
129839,4076.96,-52.5212
124007,4109.33,310.737
130421,9379,1486.25
141776,1301.44,143.201
110480,5534.44,217.29
116238,1240.02,310.595
96967.5,747.83,-83.8703
114440,10521.1,265.671
114098,5197.46,294.773
96329.8,7691.61,214.256
120317,3918.43,454.353
118561,865.69,182.154
120469,2738.17,63.9237
94773,4135.06,62.2112
129723,4364.97,958.595
92348.9,7340.52,172.95
128335,3217.08,-106.118
135709,6564.47,833.199
122562,228.25,12.4088
110100,636.61,239.88
114964,3369.8,211.369
96910.8,632.46,26.8726
113532,6390.17,-89.1345
114583,15352.5,2881.48
113681,7354.63,173.771
122627,5007.39,1765.73
121036,317.06,-84.483
103406,1353.73,-53.8923
137614,9946.72,917.696
91024.5,778.54,524.972
127670,7347.16,861.334
125220,1523.88,46.9687
89167.4,102.92,-27.2392
109921,3495.13,545.699
111516,2439.37,3.91058
110428,875.65,-19.0048
112346,1528.86,-106.185
136205,444.88,159.167
76333.6,593.45,-99.7624
124174,5455.59,922.371
138655,3087.6,247.702
128613,1592.77,604.486
118827,1364.52,438.706
106839,5216.55,98.9058
79653.7,152.72,-6.0027
131940,1093.94,164.095
122585,3468.57,319.936
97906.2,2683.39,280.234
130066,2710.78,144.499
